"Class","Accuracy","Precision","Recall","F1_Score"
"running",0.789776652083813,0.628501367537489,0.953953333015222,0.757760679225259
"skitouring",0.969704943916319,1,0.759278619968636,0.863170405586094
"cycling",0.949804282753857,0.227843137254902,0.349158653846154,0.275747508305648
"hiking",0.837242195980395,1,0.675849192570998,0.806575192525703
